# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1518188	DIY	3	10219	0	7	4.6	719829	293	recent@devs|top@devs	HOT,SIGNAL,SELF_POST_OPP	Plunda.co has a new home!
1517875	bitcoin	1	713	0	1	19.5	280679	22319	recent@bitcoin|top@bitcoin		Rajarshi Maitra Found a Point of Light in the Dark Cave, Quit His Job, and ...
1517685	bitcoin_beginners	1	604	0	5	26.3	104755	12499	recent@bitcoin_beginners		Reconnected my Send capability with Blink
1517830	AI	1	594	0	4	21.1	74100	10958	recent@AI|top@AI		Toward Unrestricted Intelligence: Venice Series A - Erik Voorhees
1517735	lightning	1	574	0	4	24.1	440729	180	recent@lightning		Biggest Channel Opened Today (7.5 BTC) + New Node Spotlight (02719f6b60955e647…)
1517937	bitcoin	1	572	0	0	17.3	74100	10958	recent@bitcoin|top@bitcoin|recent@mempool		Satoshi and Hal Finney first describing a mempool in November 2008
1517717	gaming	3	553	0	3	24.4	163128	3633	recent@lightning		1-SAT RUNNER
1517854	bitcoin	1	506	0	0	20.3	74100	10958	recent@bitcoin|top@bitcoin		Trilithium: Efficient and Universally Composable Distributed ML-DSA Signing
1518020	bitcoin	1	502	0	11	15.9	223678	5743	recent@bitcoin|top@bitcoin|recent@mempool		Nice watch-only bitcoin wallet
1517704	bitcoin	1	459	0	7	25.1	238412	189	recent@bitcoin		The Hodl Era Is Over
1517805	meta	1	422	0	6	22.3	36151	1537	recent@meta|top@meta		What are you working on this week?
1518054	AI	1	377	0	1	14.7	74100	10958	recent@bitcoin|top@bitcoin|recent@AI		Is everybody pivoting to AI?
1517687	AI	1	373	0	0	26.2	280679	22319	recent@AI		Claude Helped a Hacker Find a Way to Issue Tickets to Almost Every US Music Fest
1517621	AI	1	367	0	4	30.5	1	26770	recent@AI		Redeploying Claude Fable 5
1517833	gaming	3	341	0	0	21.0	12309	3564	recent@tech|top@tech		Sony is killing discs — and showing us why it’s a terrible idea
1517886	AI	1	295	0	0	19.0	1293586	1986	recent@AI|top@AI		Companies rehire workers laid off for AI as automation falls short
1517658	meta	1	293	0	0	27.3	36151	1537	recent@meta		This Day on SN: July 1
1517630	lightning	1	290	0	0	29.5	70864	347	recent@lightning		Release 5.0.1: Valet with flavors - Regtest, Testnet3, Testnet4
1518087	tech	1	281	0	0	14.0	161788	10041	recent@tech|top@tech		ZCode – Harness for GLM-5.2
1517919	tech	1	275	0	2	18.0	144357	4306	recent@tech|top@tech		Meet Fio: the Catholic alternative to Spotify
1518025	bitcoin	1	261	0	0	15.7	74100	10958	recent@bitcoin|top@bitcoin|recent@lightning		cerberus: Bark BTC-Ark Swap Protocol - stutxo
1517926	gaming	3	257	0	0	17.6	13531	1659	recent@tech|top@tech		Xbox testing disc-to-digital feature that digitizes a physical game collection
1517828	AI	1	105	0	0	21.3	88718	44922	recent@AI|top@AI		Why Bernie Sanders’s AI Bill Is Fascistic and Dangerous
1517606	bitcoin	1	57	0	0	33.2	1517606	3	recent@bitcoin_beginners		Building a non-nonsense "pass-along" Bitcoin brochure. What am I missing?
1517974	bitcoin_beginners	1	36	0	0	16.7	296825	4747	recent@bitcoin_beginners|top@bitcoin_beginners		The Politics of Post-Quantum Bitcoin
1517632	bitcoin_beginners	1	36	0	0	29.3	1473003	32	recent@bitcoin_beginners		An analysis of the Funding Rate in cryptocurrency perpetual futures
1517622	AI	1	21	0	0	30.3	934367	919	recent@AI		Introducing Claude Sonnet 5 \ Anthropic
1517643	bitcoin_beginners	1	19	0	1	28.3	296825	4747	recent@bitcoin_beginners		Why Keonne Rodriguez Is in Prison for Building Samourai Wallet
1517615	bitcoin	1	11	0	1	32.2	1401899	197	recent@bitcoin_Mining		Bitcoin Stories — How Iran Became an Accidental Mining Powerhouse
1518270	lightning	1	0	0	0	0.1	440729	180	recent@lightning|top@lightning	FRESH	Biggest Channel Opened Today (6.0 BTC) + New Node Spotlight (03b1561ba1ef7f4de…)
1518246	lightning	1	0	0	3	0.8	263526	446	recent@lightning|top@lightning	FRESH	@TheBlueMatt 🟠 Lightning payment 99% success rates is remotely acceptable
