# refreshed_at	name	nitems	stacked	spent	streak
2026-05-25T16:06:22.474Z	Public_N_M_E	17	2252	3158	232
2026-05-25T16:06:22.474Z	softglitter2d	5	2232	144	0
2026-05-25T16:06:22.474Z	cryotosensei	38	2227	1122	49
2026-06-01T21:03:12.463Z	k00b	46	68182	98139	1100
2026-06-01T21:03:12.463Z	Scoresby	168	53471	157332	364
2026-06-01T21:03:12.463Z	grayruby	287	39570	36478	922
2026-06-01T21:03:12.463Z	BlokchainB	204	23827	45563	958
2026-06-01T21:03:12.463Z	0xbitcoiner	134	17446	8179	1
2026-06-01T21:03:12.463Z	schmidty	36	10314	1109	0
2026-06-01T21:03:12.463Z	DeltaClimbs	19	8165	834	0
2026-06-01T21:03:12.463Z	SimpleStacker	64	7174	3891	0
2026-06-01T21:03:12.463Z	realBitcoinDog	39	6520	1186	4
2026-06-01T21:03:12.463Z	Wumbo	16	6029	1592	7
2026-06-01T21:03:12.463Z	Aardvark	0	5701	0	0
2026-06-01T21:03:12.463Z	billytheked	25	5496	4357	30
2026-06-01T21:03:12.463Z	gsc360	94	5323	2958	17
2026-06-01T21:03:12.463Z	cryotosensei	65	5158	1592	56
2026-06-01T21:03:12.463Z	Carresan	51	4622	1118	5
2026-06-01T21:03:12.463Z	justin_shocknet	51	4312	890	1
2026-06-01T21:03:12.463Z	cointastical	15	4244	3733	0
2026-06-01T21:03:12.463Z	BitcoinErrorLog	2	3872	64	0
2026-06-01T21:03:12.463Z	satwize	6	3689	8337	12
2026-06-01T21:03:12.463Z	TNStacker	3	3539	2532	2
2026-06-01T21:03:12.463Z	Bell_curve	37	3538	2805	9
2026-06-01T21:03:12.463Z	MaxFangX	4	3489	1688	0
2026-06-01T21:03:12.463Z	OneOneSeven	2	3370	2395	57
2026-06-01T21:03:12.463Z	DailyStacker	18	3315	546	2
2026-06-01T21:03:12.463Z	NEEDcreations	17	3143	1415	0
2026-06-01T21:03:12.463Z	WeAreAllSatoshi	67	3058	8739	108
2026-06-01T21:03:12.463Z	Cje95	21	3014	888	0
2026-06-01T21:03:12.463Z	ek	24	2962	1576	0
2026-06-01T21:03:12.463Z	BITC0IN	18	2808	213	0
2026-06-01T21:03:12.463Z	Coinsreporter	9	2791	282	0
2026-06-01T21:03:12.463Z	028559d218	33	2753	1737	4
2026-06-01T21:03:12.463Z	suraz	32	2710	1577	41
2026-06-01T21:03:12.463Z	davidw	0	2569	0	0
2026-06-01T21:03:12.463Z	nout	5	2537	3110	0
2026-06-01T21:03:12.463Z	Public_N_M_E	17	2517	7187	239
2026-06-01T21:03:12.463Z	StillStackinAfterAllTheseYears	5	2477	1094	4
2026-06-08T10:23:26.899Z	k00b	58	72534	91778	1107
2026-06-08T10:23:26.899Z	Scoresby	149	71835	107477	371
2026-06-08T10:23:26.899Z	BlokchainB	212	41243	79718	965
2026-06-08T10:23:26.899Z	grayruby	212	35518	26019	929
2026-06-08T10:23:26.899Z	0xbitcoiner	123	23490	9244	1
2026-06-08T10:23:26.899Z	billytheked	17	13362	2519	37
2026-06-08T10:23:26.899Z	gsc360	164	10348	5201	24
2026-06-08T10:23:26.899Z	Aardvark	0	6513	0	0
2026-06-08T10:23:26.899Z	HodlTarantula1	29	5992	158	0
2026-06-08T10:23:26.899Z	SimpleStacker	51	5432	3472	0
2026-06-08T10:23:26.899Z	Wumbo	2	5257	824	1
2026-06-08T10:23:26.899Z	cryotosensei	42	4833	1255	63
2026-06-08T10:23:26.899Z	028559d218	78	4771	4478	6
2026-06-08T10:23:26.899Z	satwize	2	4321	5229	19
2026-06-08T10:23:26.899Z	WeAreAllSatoshi	56	4083	6229	115
2026-06-08T10:23:26.899Z	realBitcoinDog	27	3814	1085	0
2026-06-08T10:23:26.899Z	davidw	0	3754	0	0
2026-06-08T10:23:26.899Z	guerratotal	26	3701	744	0
2026-06-08T10:23:26.899Z	OT	16	3619	2753	135
2026-06-08T10:23:26.899Z	Cje95	18	3617	761	0
